scenario,product,category,customer_type,user_activity,time_of_day,day_type,season,weather,discount,urgency,tone,emoji,notification
Seasonal Flavor,Rose Thandai Kulfi,Ice Cream,New,App Open,Evening,Weekend,Summer,Hot,0%,Low,Exciting,🌹,Cool down with our seasonal Rose Thandai Kulfi which is the most refreshing way to celebrate the heat
Limited Edition,Black Forest Pastry,Dessert,Premium,Past Purchase,Morning,Weekday,Winter,Cold,10%,High,Urgent,🍰,Do not miss our limited edition Black Forest Pastry because this classic recipe is only back for today
Premium Collection,Hazelnut Praline,Ice Cream,Loyal,Idle,Night,Weekend,Monsoon,Rainy,Free Delivery,Medium,Premium,🌰,Indulge in the velvety texture of our new Hazelnut Praline collection for a truly high end dessert experience
Chef Special,Tiramisu Twist,Ice Cream,Inactive,Browsing,Afternoon,Weekday,Spring,Clear,20%,Low,Luxury,☕,Our chef has perfected the Tiramisu Twist just for you so come and explore this coffee infused delight
Restocked Product,Red Velvet Cheesecake Bites,Dessert,Returning,Past Purchase,Evening,Weekend,Summer,Hot,0%,High,Urgent,🍰,They are back by popular demand so grab your Red Velvet Cheesecake Bites before they sell out again
Fresh Arrival,Mango Cheesecake Jar,Dessert,First Order,App Open,Morning,Weekday,Summer,Sunny,25%,Medium,Exciting,🥭,Just landed in our kitchen the Mango Cheesecake Jar is the fresh fruity escape you have been seeking
New Combo,Chocolate Shake,Shake,New,Browsing,Afternoon,Weekend,Winter,Cold,30%,Medium,Playful,🥤,Pair your dessert with our new Chocolate Shake combo and double the sweetness of your order right now
Festival Dessert,Saffron Pistachio Kulfi Bar,Ice Cream,Loyal,Idle,Evening,Weekday,Spring,Clear,Buy1Get1,Low,Warm,🍦,Light up your celebrations with our Saffron Pistachio Kulfi Bar which offers a rich and traditional festive taste
Exclusive Launch,Peanut Butter Cup,Ice Cream,Premium,App Open,Night,Weekend,Monsoon,Rainy,0%,High,Luxury,🥜,Experience the bold flavors of our exclusive Peanut Butter Cup launch which is now available for premium members
New Flavor,Coconut Almond Delight,Ice Cream,Returning,Browsing,Afternoon,Weekday,Summer,Hot,15%,Medium,Friendly,🥥,Go tropical with our brand new Coconut Almond Delight and let the exotic flavors take you on vacation
Seasonal Flavor,Tricolor Kulfi Bar,Ice Cream,New,App Open,Evening,Weekend,Spring,Clear,0%,Low,Exciting,🍦,Our seasonal Tricolor Kulfi Bar is the brightest way to enjoy your dessert this weekend so try one
Limited Edition,Choco Chip Cookie Sandwich,Dessert,Premium,Past Purchase,Morning,Weekday,Summer,Sunny,10%,High,Urgent,🍪,Our limited edition Choco Chip Cookie Sandwich is a childhood dream come true so get yours while possible
Premium Collection,Pistachio Rose,Ice Cream,Loyal,Idle,Night,Weekend,Winter,Cold,Free Delivery,Medium,Premium,🌹,Discover the floral elegance of our new Pistachio Rose collection which is the highlight of our premium menu
Chef Special,Roasted Almond Fudge,Ice Cream,Inactive,Browsing,Afternoon,Weekday,Monsoon,Rainy,20%,Low,Luxury,🥜,The chef suggests our new Roasted Almond Fudge for a crunchy and rich treat during this rainy weather
Restocked Product,Belgian Brownie Bites,Dessert,Returning,Past Purchase,Evening,Weekend,Summer,Hot,0%,High,Urgent,🍫,Great news because your favorite Belgian Brownie Bites are back in stock and ready for your next order
Fresh Arrival,Lychee Rose,Ice Cream,First Order,App Open,Morning,Weekday,Spring,Clear,25%,Medium,Exciting,🌹,Our fresh arrival Lychee Rose ice cream is waiting for you to discover its delicate and sweet notes
New Combo,Mango Shake,Shake,New,Browsing,Afternoon,Weekend,Summer,Sunny,30%,Medium,Playful,🥭,Cool off with our new Mango Shake combo and enjoy the freshest fruit flavors of the entire season
Festival Dessert,Sheer Khurma Kulfi,Ice Cream,Loyal,Idle,Evening,Weekday,Winter,Cold,Buy1Get1,Low,Warm,🍧,Enjoy the essence of the festival with our Sheer Khurma Kulfi which is a creamy tribute to tradition
Exclusive Launch,Coffee Caramel Swirl,Ice Cream,Premium,App Open,Night,Weekend,Monsoon,Rainy,0%,High,Luxury,☕,Awaken your senses with our exclusive Coffee Caramel Swirl launch which is the perfect blend of bold beans
New Flavor,Strawberry Cheesecake,Dessert,Returning,Browsing,Afternoon,Weekday,Spring,Clear,15%,Medium,Friendly,🍓,Taste the fruit with our new Strawberry Cheesecake flavor which is the creamiest addition to our menu yet
Seasonal Flavor,Mango Tango,Ice Cream,New,App Open,Evening,Weekend,Summer,Hot,0%,Low,Exciting,🥭,The Mango Tango is our seasonal star so come and dance with the flavors of the sun today
Limited Edition,Choco Walnut Brownie,Dessert,Premium,Past Purchase,Morning,Weekday,Winter,Cold,10%,High,Urgent,🍫,Hurry and grab our limited edition Choco Walnut Brownie before it is gone from our bakery shelves forever
Premium Collection,Vanilla Bean,Ice Cream,Loyal,Idle,Night,Weekend,Summer,Sunny,Free Delivery,Medium,Premium,🍦,Experience the pure taste of our new Vanilla Bean collection which uses the finest pods from across the
Chef Special,Black Currant Bliss,Ice Cream,Inactive,Browsing,Afternoon,Weekday,Monsoon,Rainy,20%,Low,Luxury,🍇,The chef has outdone himself with the Black Currant Bliss so come and discover this purple gem tonight
Restocked Product,Hot Fudge Sundae,Sundae,Returning,Past Purchase,Evening,Weekend,Spring,Clear,0%,High,Urgent,🍨,The classic Hot Fudge Sundae is back on the menu so treat yourself to this timeless favorite tonight
Fresh Arrival,Cookie Dough Delight,Ice Cream,First Order,App Open,Morning,Weekday,Summer,Hot,25%,Medium,Exciting,🍪,Get a taste of our fresh arrival Cookie Dough Delight and find out why everyone loves this flavor
New Combo,Falooda,Dessert,New,Browsing,Afternoon,Weekend,Winter,Cold,30%,Medium,Playful,🍧,Try our new Falooda combo today for a multi layered dessert experience that will leave you wanting more
Festival Dessert,Paan Surprise,Ice Cream,Loyal,Idle,Evening,Weekday,Spring,Clear,Buy1Get1,Low,Warm,🍃,End your festive meal with our Paan Surprise which is the most refreshing way to celebrate with family
Exclusive Launch,Premium Tiramisu Jar,Dessert,Premium,App Open,Night,Weekend,Summer,Sunny,0%,High,Luxury,🫙,Our exclusive Premium Tiramisu Jar has launched so enjoy the finest layers of coffee and cream right now
New Flavor,Coffee Crunch,Ice Cream,Returning,Browsing,Afternoon,Weekday,Winter,Cold,15%,Medium,Friendly,☕,Wake up your taste buds with our new Coffee Crunch flavor which is the perfect pick me up
Seasonal Flavor,Mint Chocolate,Ice Cream,New,App Open,Evening,Weekend,Monsoon,Rainy,0%,Low,Exciting,🌿,Our seasonal Mint Chocolate is here to freshen up your rainy evenings with a cool and crisp taste
Limited Edition,Chocolate Pastry,Dessert,Premium,Past Purchase,Morning,Weekday,Spring,Clear,10%,High,Urgent,🍰,This is your last chance for our limited edition Chocolate Pastry so order now for a sweet surprise
Premium Collection,Kulfi,Ice Cream,Loyal,Idle,Night,Weekend,Summer,Hot,Free Delivery,Medium,Premium,🍦,Discover the tradition of our new Kulfi collection which brings authentic royal flavors straight to your doorstep today
Chef Special,Red Velvet,Ice Cream,Inactive,Browsing,Afternoon,Weekday,Winter,Cold,20%,Low,Luxury,🍰,The chef invites you to try the new Red Velvet ice cream for a decadent and smooth experience
Restocked Product,Belgian Choco Fudge,Ice Cream,Returning,Past Purchase,Evening,Weekend,Summer,Sunny,0%,High,Urgent,🍫,Your favorite Belgian Choco Fudge is restocked and ready to melt in your mouth so order it now
Fresh Arrival,Oreo Overload,Ice Cream,First Order,App Open,Morning,Weekday,Spring,Clear,25%,Medium,Exciting,🍪,The Oreo Overload has finally arrived so come and see what happens when we add extra cookies today
New Combo,Kesar Pista,Ice Cream,New,Browsing,Afternoon,Weekend,Summer,Hot,30%,Medium,Playful,🍨,Our new Kesar Pista combo is the ultimate way to enjoy classic flavors with a modern sweet twist
Festival Dessert,10der Coconut,Ice Cream,Loyal,Idle,Evening,Weekday,Monsoon,Rainy,Buy1Get1,Low,Warm,🥥,Celebrate the season with our 10der Coconut dessert which is as fresh as the rain outside your window
Exclusive Launch,Nutella Croissant,Dessert,Premium,App Open,Night,Weekend,Winter,Cold,0%,High,Luxury,🥐,The exclusive Nutella Croissant launch is finally here for you to enjoy a buttery and chocolatey midnight snack
New Flavor,Mango Sorbet,Ice Cream,Returning,Browsing,Afternoon,Weekday,Summer,Sunny,15%,Medium,Exciting,🥭,Refresh your day with our new Mango Sorbet which is made from the sunniest fruits in the orchard
Seasonal Flavor,Rocky Road,Ice Cream,New,App Open,Evening,Weekend,Winter,Cold,0%,Low,Friendly,🍫,Our seasonal Rocky Road is the perfect companion for a cozy night in so grab a tub today
Limited Edition,Sorbet Cup,Ice Cream,Premium,Past Purchase,Morning,Weekday,Spring,Clear,10%,High,Urgent,🍧,Only a few left of our limited edition Sorbet Cup so act fast to enjoy this fruity delight
Premium Collection,Premium Tiramisu Twist,Ice Cream,Loyal,Idle,Night,Weekend,Summer,Hot,Free Delivery,Medium,Premium,🍰,Indulge in the luxury of our new Premium Tiramisu Twist collection which is the peak of dessert craft
Chef Special,Black Currant,Ice Cream,Inactive,Browsing,Afternoon,Weekday,Monsoon,Rainy,20%,Low,Luxury,🍇,Our chef recommends the bold Black Currant for a deep and fruity flavor that will brigh10 your day
Restocked Product,Mini Brownie Bites,Dessert,Returning,Past Purchase,Evening,Weekend,Winter,Cold,0%,High,Urgent,🍫,Mini Brownie Bites are back in the kitchen so stock up on these tiny treats before they disappear
Fresh Arrival,Salted Caramel Brownie,Dessert,First Order,App Open,Morning,Weekday,Spring,Clear,25%,Medium,Exciting,🍮,The Salted Caramel Brownie has just arrived and it is the perfect blend of salty and sweet flavors
New Combo,Strawberry,Ice Cream,New,Browsing,Afternoon,Weekend,Summer,Sunny,30%,Medium,Playful,🍓,Double the fruit with our new Strawberry combo deal and enjoy the freshest scoops of the entire season
Festival Dessert,Gingerbread Kulfi Bar,Ice Cream,Loyal,Idle,Evening,Weekday,Winter,Cold,Buy1Get1,Low,Warm,🍦,Bring home the festive spirit with our Gingerbread Kulfi Bar which is a spicy and sweet holiday treat
Exclusive Launch,Blue Velvet Cloud,Ice Cream,Premium,App Open,Night,Weekend,Spring,Clear,0%,High,Luxury,☁️,Be the first to taste the exclusive Blue Velvet Cloud launch and float away on its creamy texture
New Flavor,Watermelon Sorbet,Ice Cream,Returning,Browsing,Afternoon,Weekday,Summer,Hot,15%,Medium,Exciting,🍉,Meet our new Watermelon Sorbet and discover the ultimate way to stay cool during the hot summer months
Seasonal Flavor,Rose Pistachio Brownie,Dessert,New,App Open,Evening,Weekend,Spring,Clear,0%,Low,Friendly,🌹,Our seasonal Rose Pistachio Brownie is in full bloom so come and taste the floral sweetness today
Limited Edition,Dark Chocolate Truffle,Ice Cream,Premium,Past Purchase,Morning,Weekday,Winter,Cold,10%,High,Urgent,🍫,Limited edition alert because our Dark Chocolate Truffle is only available this weekend so do not wait now
Premium Collection,Guava Chili Sorbet,Ice Cream,Loyal,Idle,Night,Weekend,Summer,Sunny,Free Delivery,Medium,Premium,🌶️,Elevate your palate with our new Guava Chili Sorbet collection which is a premium take on street flavors
Chef Special,Tiramisu Jar,Dessert,Inactive,Browsing,Afternoon,Weekday,Spring,Clear,20%,Low,Luxury,☕,Our chef has curated the perfect Tiramisu Jar for you so discover the authentic layers of Italian bliss
Restocked Product,Nutella Stuffed Croissant,Dessert,Returning,Past Purchase,Evening,Weekend,Winter,Cold,0%,High,Urgent,🥐,The wait is over as our Nutella Stuffed Croissant is restocked and ready for your morning coffee date
Fresh Arrival,Oreo Sundae,Sundae,First Order,App Open,Morning,Weekday,Summer,Hot,25%,Medium,Exciting,🍨,A fresh arrival is here for you to try the Oreo Sundae and experience the perfect cookie crunch
New Combo,Gulab Jamun Cheesecake,Dessert,New,Browsing,Afternoon,Weekend,Spring,Clear,30%,Medium,Playful,🍰,Check out our new Gulab Jamun Cheesecake combo and enjoy a modern twist on your favorite festive dessert
Festival Dessert,Petrichor Pistachio,Ice Cream,Loyal,Idle,Evening,Weekday,Monsoon,Rainy,Buy1Get1,Low,Warm,🌧️,Celebrate the rains with our Petrichor Pistachio which is the most poetic way to enjoy a festive evening
Exclusive Launch,Mango Chili Sorbet,Ice Cream,Premium,App Open,Night,Weekend,Summer,Sunny,0%,High,Luxury,🥭,Discover the exclusive launch of our Mango Chili Sorbet and be the first to enjoy this tropical heat
New Flavor,Rose Thandai Kulfi,Ice Cream,Returning,Browsing,Afternoon,Weekday,Summer,Hot,15%,Medium,Friendly,🌹,Refresh your senses with our new Rose Thandai Kulfi flavor which is a cool blast of floral fun
Seasonal Flavor,Black Forest Pastry,Dessert,New,App Open,Evening,Weekend,Winter,Cold,0%,Low,Exciting,🍰,Our seasonal Black Forest Pastry has arrived to make your winter nights much more indulgent and sweet today
Limited Edition,Hazelnut Praline,Ice Cream,Premium,Past Purchase,Morning,Weekday,Spring,Clear,10%,High,Urgent,🌰,This limited edition Hazelnut Praline will not last long so grab a scoop while we still have stock
Premium Collection,Tiramisu Twist,Ice Cream,Loyal,Idle,Night,Weekend,Summer,Sunny,Free Delivery,Medium,Premium,☕,Experience the world of coffee with our new Tiramisu Twist collection which is a premium dessert lovers dream
Chef Special,Red Velvet Cheesecake Bites,Dessert,Inactive,Browsing,Afternoon,Weekday,Winter,Cold,20%,Low,Luxury,🍰,The chef invites you to discover our new Red Velvet Cheesecake Bites for a truly bite sized luxury
Restocked Product,Mango Cheesecake Jar,Dessert,Returning,Past Purchase,Evening,Weekend,Summer,Hot,0%,High,Urgent,🥭,Your favorite Mango Cheesecake Jar is back in stock so order now and enjoy the taste of summer
Fresh Arrival,Chocolate Shake,Shake,First Order,App Open,Morning,Weekday,Spring,Clear,25%,Medium,Exciting,🥤,Our fresh arrival Chocolate Shake is ready for you to sip and enjoy the richest cocoa in town
New Combo,Saffron Pistachio Kulfi Bar,Ice Cream,New,Browsing,Afternoon,Weekend,Summer,Hot,30%,Medium,Playful,🍦,Try our new Saffron Pistachio Kulfi Bar combo and discover a royal way to share dessert with friends
Festival Dessert,Caramel Pecan Tart,Dessert,Loyal,Idle,Evening,Weekday,Winter,Cold,Buy1Get1,Low,Warm,🥧,Add some crunch to your festival with our Caramel Pecan Tart which is a sweet and nutty celebration
Exclusive Launch,Banana Caramel Swirl,Ice Cream,Premium,App Open,Night,Weekend,Spring,Clear,0%,High,Luxury,🍌,The exclusive Banana Caramel Swirl launch is here for you to experience a new level of fruity sweetness
New Flavor,Coconut Almond Delight,Ice Cream,Returning,Browsing,Afternoon,Weekday,Summer,Hot,15%,Medium,Friendly,🥥,Taste the island life with our new Coconut Almond Delight flavor which is the perfect tropical escape tonight
Seasonal Flavor,Tricolor Kulfi Bar,Ice Cream,New,App Open,Evening,Weekend,Spring,Clear,0%,Low,Exciting,🍦,Our seasonal Tricolor Kulfi Bar is the most colorful way to celebrate the arrival of the new season
Limited Edition,Choco Chip Cookie Sandwich,Dessert,Premium,Past Purchase,Morning,Weekday,Summer,Sunny,10%,High,Urgent,🍪,Our limited edition Choco Chip Cookie Sandwich is almost gone so hurry and get your hands on one
Premium Collection,Pistachio Rose,Ice Cream,Loyal,Idle,Night,Weekend,Winter,Cold,Free Delivery,Medium,Premium,🌹,Indulge in the floral luxury of our new Pistachio Rose collection which is now available for all members
Chef Special,Roasted Almond Fudge,Ice Cream,Inactive,Browsing,Afternoon,Weekday,Monsoon,Rainy,20%,Low,Luxury,🥜,The chef recommends our new Roasted Almond Fudge to keep you cozy and satisfied during the rainy days
Restocked Product,Belgian Brownie Bites,Dessert,Returning,Past Purchase,Evening,Weekend,Summer,Hot,0%,High,Urgent,🍫,The wait for Belgian Brownie Bites is finally over so grab your pack and satisfy your chocolate cravings
Fresh Arrival,Lychee Rose,Ice Cream,First Order,App Open,Morning,Weekday,Spring,Clear,25%,Medium,Exciting,🌹,Discover the delicate taste of our fresh arrival Lychee Rose ice cream which is now ready for order
New Combo,Mango Shake,Shake,New,Browsing,Afternoon,Weekend,Summer,Sunny,30%,Medium,Playful,🥭,Cool off this afternoon with our new Mango Shake combo and enjoy the sweetest deal of the week
Festival Dessert,Sheer Khurma Kulfi,Ice Cream,Loyal,Idle,Evening,Weekday,Winter,Cold,Buy1Get1,Low,Warm,🍧,Celebrate the festival with our Sheer Khurma Kulfi which is a creamy and traditional way to end dinner
Exclusive Launch,Coffee Caramel Swirl,Ice Cream,Premium,App Open,Night,Weekend,Monsoon,Rainy,0%,High,Luxury,☕,Indulge in the exclusive launch of our Coffee Caramel Swirl and experience the perfect caffeine kick tonight
New Flavor,Strawberry Cheesecake,Dessert,Returning,Browsing,Afternoon,Weekday,Spring,Clear,15%,Medium,Friendly,🍓,Fall in love with our new Strawberry Cheesecake flavor which is the most decadent treat on our menu
Seasonal Flavor,Mango Tango,Ice Cream,New,App Open,Evening,Weekend,Summer,Hot,0%,Low,Exciting,🥭,The seasonal Mango Tango has arrived so come and taste the most popular fruit of the summer season
Limited Edition,Choco Walnut Brownie,Dessert,Premium,Past Purchase,Morning,Weekday,Winter,Cold,10%,High,Urgent,🍫,Do not miss out on our limited edition Choco Walnut Brownie because it is only available this week
Premium Collection,Vanilla Bean,Ice Cream,Loyal,Idle,Night,Weekend,Summer,Sunny,Free Delivery,Medium,Premium,🍦,Experience the classic taste of our new Vanilla Bean collection which is the highlight of our premium flavors
Chef Special,Black Currant Bliss,Ice Cream,Inactive,Browsing,Afternoon,Weekday,Monsoon,Rainy,20%,Low,Luxury,🍇,Our chef invites you to try the Black Currant Bliss for a rich and fruity experience like no
Restocked Product,Hot Fudge Sundae,Sundae,Returning,Past Purchase,Evening,Weekend,Spring,Clear,0%,High,Urgent,🍨,The Hot Fudge Sundae is back in the spotlight so order now and enjoy this legendary chocolate treat
Fresh Arrival,Cookie Dough Delight,Ice Cream,First Order,App Open,Morning,Weekday,Summer,Hot,25%,Medium,Exciting,🍪,Our fresh arrival Cookie Dough Delight is here to make your day much more fun and sweet today
New Combo,Falooda,Dessert,New,Browsing,Afternoon,Weekend,Winter,Cold,30%,Medium,Playful,🍧,Try our new Falooda combo today and discover the many layers of flavor that make it so special
Festival Dessert,Paan Surprise,Ice Cream,Loyal,Idle,Evening,Weekday,Spring,Clear,Buy1Get1,Low,Warm,🍃,Make your festival memorable with our Paan Surprise which is the ultimate refreshing treat for your whole family
Exclusive Launch,Premium Tiramisu Jar,Dessert,Premium,App Open,Night,Weekend,Summer,Sunny,0%,High,Luxury,🫙,Presenting the exclusive launch of our Premium Tiramisu Jar which is the most elegant dessert we have made
New Flavor,Coffee Crunch,Ice Cream,Returning,Browsing,Afternoon,Weekday,Winter,Cold,15%,Medium,Friendly,☕,Discover the perfect crunch with our new Coffee Crunch flavor which is now available for all coffee fans
Seasonal Flavor,Mint Chocolate,Ice Cream,New,App Open,Evening,Weekend,Monsoon,Rainy,0%,Low,Exciting,🌿,Our seasonal Mint Chocolate is back to give your rainy evenings a refreshing and cool chocolatey twist tonight
Limited Edition,Chocolate Pastry,Dessert,Premium,Past Purchase,Morning,Weekday,Spring,Clear,10%,High,Urgent,🍰,Last call for our limited edition Chocolate Pastry so grab yours now before the bakery closes for today
Premium Collection,Kulfi,Ice Cream,Loyal,Idle,Night,Weekend,Summer,Hot,Free Delivery,Medium,Premium,🍦,Step into the world of luxury with our new Kulfi collection which offers an authentic royal dessert experience
Chef Special,Red Velvet,Ice Cream,Inactive,Browsing,Afternoon,Weekday,Winter,Cold,20%,Low,Luxury,🍰,The chef recommends the new Red Velvet ice cream for those who appreciate the finer things in life
Restocked Product,Belgian Choco Fudge,Ice Cream,Returning,Past Purchase,Evening,Weekend,Summer,Sunny,0%,High,Urgent,🍫,Your favorite Belgian Choco Fudge is finally back so do not wait to satisfy your deep chocolate cravings
Fresh Arrival,Oreo Overload,Ice Cream,First Order,App Open,Morning,Weekday,Spring,Clear,25%,Medium,Exciting,🍪,The Oreo Overload has just landed so come and explore the ultimate cookie and cream experience right now
New Combo,Kesar Pista,Ice Cream,New,Browsing,Afternoon,Weekend,Summer,Hot,30%,Medium,Playful,🍨,Our new Kesar Pista combo is the perfect way to enjoy a traditional favorite with a sweet twist
Festival Dessert,10der Coconut,Ice Cream,Loyal,Idle,Evening,Weekday,Monsoon,Rainy,Buy1Get1,Low,Warm,🥥,Celebrate the festival with our 10der Coconut dessert which is a fresh and light way to enjoy sweets
Exclusive Launch,Nutella Croissant,Dessert,Premium,App Open,Night,Weekend,Winter,Cold,0%,High,Luxury,🥐,The exclusive launch of our Nutella Croissant is finally here for a truly indulgent late night snack today
New Flavor,Mango Sorbet,Ice Cream,Returning,Browsing,Afternoon,Weekday,Summer,Sunny,15%,Medium,Exciting,🥭,Stay cool with our new Mango Sorbet which is the most refreshing and fruity addition to our menu
Seasonal Flavor,Rocky Road,Ice Cream,New,App Open,Evening,Weekend,Winter,Cold,0%,Low,Friendly,🍫,Our seasonal Rocky Road is the ultimate comfort food for a chilly evening so grab a scoop now
Limited Edition,Sorbet Cup,Ice Cream,Premium,Past Purchase,Morning,Weekday,Spring,Clear,10%,High,Urgent,🍧,Hurry because our limited edition Sorbet Cup is selling out fast so get yours while you still can
Premium Collection,Premium Tiramisu Twist,Ice Cream,Loyal,Idle,Night,Weekend,Summer,Hot,Free Delivery,Medium,Premium,🍰,Elevate your dessert experience with our new Premium Tiramisu Twist collection which is truly a work of art
Chef Special,Black Currant,Ice Cream,Inactive,Browsing,Afternoon,Weekday,Monsoon,Rainy,20%,Low,Luxury,🍇,Our chef has selected the Black Currant for its bold and tangy flavor that you will surely love
Restocked Product,Mini Brownie Bites,Dessert,Returning,Past Purchase,Evening,Weekend,Winter,Cold,0%,High,Urgent,🍫,Great news as Mini Brownie Bites are back on the menu so treat yourself to these chocolate gems
Fresh Arrival,Salted Caramel Brownie,Dessert,First Order,App Open,Morning,Weekday,Spring,Clear,25%,Medium,Exciting,🍮,A fresh arrival of Salted Caramel Brownie is waiting for you to discover its perfect sweet balance tonight
New Combo,Strawberry,Ice Cream,New,Browsing,Afternoon,Weekend,Summer,Sunny,30%,Medium,Playful,🍓,Try our new Strawberry combo today and enjoy the freshest fruit flavor with a special weekend discount now
Festival Dessert,Gingerbread Kulfi Bar,Ice Cream,Loyal,Idle,Evening,Weekday,Winter,Cold,Buy1Get1,Low,Warm,🍦,Add some holiday magic to your day with our Gingerbread Kulfi Bar which is a festive favorite flavor
Exclusive Launch,Blue Velvet Cloud,Ice Cream,Premium,App Open,Night,Weekend,Spring,Clear,0%,High,Luxury,☁️,Indulge in the exclusive launch of our Blue Velvet Cloud and experience a flavor that is truly unique
New Flavor,Watermelon Sorbet,Ice Cream,Returning,Browsing,Afternoon,Weekday,Summer,Hot,15%,Medium,Exciting,🍉,Meet our new Watermelon Sorbet and enjoy the most refreshing way to beat the summer heat today now
Seasonal Flavor,Rose Pistachio Brownie,Dessert,New,App Open,Evening,Weekend,Spring,Clear,0%,Low,Friendly,🌹,Our seasonal Rose Pistachio Brownie is back in the kitchen so come and enjoy its floral sweet notes
Limited Edition,Dark Chocolate Truffle,Ice Cream,Premium,Past Purchase,Morning,Weekday,Winter,Cold,10%,High,Urgent,🍫,Limited time offer for our Dark Chocolate Truffle so grab this rich treat before it leaves our menu
